Caso;Area;Distancia;AntigÅedad;Precio;;
1;87;500;10;96916;;
2;160;400;16;178880;;
3;165;800;3;221398;;
4;86;300;6;102936;;
5;107;1900;5;97669;;
6;135;900;3;193544;;
7;119;1400;6;141092;;
8;56;500;14;64737;;
9;102;1900;6;86006;;
10;148;700;1;235591;;
11;144;0;9;184964;;
12;144;1800;6;138130;;
13;55;200;13;69939;;
14;188;200;18;205317;;
15;159;600;12;207936;;
16;155;400;19;190074;;
17;162;100;15;197691;;
18;152;1300;19;131267;;
19;169;100;8;223196;;
20;164;300;0;266291;;
21;78;900;6;70572;;
22;130;1400;5;127315;;
23;195;1700;5;196989;;
24;190;700;19;199097;;
25;87;500;14;91763;;
26;58;1700;7;35079;;
27;106;1000;7;128308;;
28;48;1600;16;21165;;
29;51;1400;13;30053;;
30;140;1600;11;146198;;
31;159;1400;19;154594;;
32;183;700;17;220491;;
33;122;1900;18;109067;;
34;178;500;10;192757;;
35;114;1600;10;107297;;
36;110;200;14;119573;;
37;180;300;8;236576;;
38;130;1000;2;161639;;
39;123;900;18;115570;;
40;158;400;5;201074;;
41;148;800;12;181100;;
42;52;1800;5;25347;;
43;146;600;9;159765;;
44;84;1700;1;82652;;
45;104;100;9;128785;;
46;110;700;1;168396;;
47;159;1700;16;138373;;
48;59;700;5;59267;;
49;161;100;1;256071;;
50;185;200;7;246035;;
51;111;0;19;137188;;
52;94;900;12;85121;;
53;155;800;4;182112;;
54;120;0;19;124352;;
55;51;1200;4;34948;;
56;114;100;3;155014;;
57;196;1800;15;212416;;
58;113;300;15;130564;;
59;149;600;2;222148;;
60;73;500;4;78679;;
61;141;100;6;164951;;
62;169;800;11;185376;;
63;182;1900;16;202642;;
64;169;600;5;192057;;
65;73;900;8;76826;;
66;55;800;17;46941;;
67;103;800;11;115768;;
68;178;600;12;185517;;
69;94;700;3;102803;;
70;103;1100;18;93432;;
71;56;1700;14;28821;;
72;52;1700;10;24557;;
73;148;1100;10;184633;;
74;178;1500;7;190207;;
75;51;1100;17;40355;;
76;42;600;10;43084;;
77;85;100;16;112650;;
78;116;1700;2;127180;;
79;89;1300;0;103653;;
80;98;400;7;137687;;
81;157;700;4;175745;;
82;105;1300;15;110775;;
83;77;1700;12;51347;;
84;156;200;3;208206;;
85;141;1000;2;191873;;
86;137;1700;18;142482;;
87;145;1600;8;160881;;
88;166;1300;17;154060;;
89;144;100;12;177975;;
90;61;500;9;59021;;
91;138;500;6;190527;;
92;137;1200;3;163836;;
93;117;300;19;148345;;
94;52;1900;5;16817;;
95;58;1600;18;32535;;
96;154;1300;16;149821;;
97;43;200;15;49644;;
98;41;300;3;48112;;
99;106;1000;5;106522;;
100;176;1200;10;200313;;
