Caso;Area;Distancia;AntigÅedad;Precio;;
1;177;1000;4;216779;;
2;91;1200;18;71465;;
3;189;800;11;230643;;
4;115;100;19;154814;;
5;81;1800;18;59036;;
6;141;200;12;174551;;
7;111;1300;5;110697;;
8;104;1500;18;82048;;
9;43;100;2;67557;;
10;60;1900;17;29626;;
11;148;1300;13;167953;;
12;55;1800;6;22716;;
13;111;1800;1;128835;;
14;157;1000;1;210410;;
15;185;1600;11;212386;;
16;196;1100;4;266241;;
17;170;1500;18;153247;;
18;110;1400;16;90765;;
19;98;1000;16;107869;;
20;63;200;15;71836;;
21;104;300;1;145474;;
22;87;1200;18;85969;;
23;99;1200;14;106898;;
24;47;1000;9;36091;;
25;102;500;7;137826;;
26;149;1400;11;168369;;
27;98;1600;9;75372;;
28;93;1100;0;115983;;
29;44;200;15;55688;;
30;80;1500;17;53055;;
31;85;1500;8;69538;;
32;56;1000;18;44811;;
33;167;800;6;225311;;
34;105;0;4;147937;;
35;89;1900;13;56665;;
36;187;600;18;186884;;
37;106;1100;6;122530;;
38;179;400;18;182995;;
39;184;1000;11;234845;;
40;81;1900;8;60740;;
41;90;700;5;111861;;
42;85;500;2;113872;;
43;52;300;18;48898;;
44;149;1400;18;131178;;
45;43;700;16;30812;;
46;99;1000;10;113112;;
47;77;1300;9;66820;;
48;125;1500;19;123103;;
49;66;1500;13;46734;;
50;114;400;12;138045;;
51;52;1500;3;28701;;
52;145;1600;7;162409;;
53;62;1000;16;49298;;
54;163;1700;5;198276;;
55;54;900;13;48734;;
56;78;100;9;107692;;
57;52;800;10;47830;;
58;157;1000;14;190198;;
59;47;1200;17;32359;;
60;79;1400;1;89368;;
61;149;300;7;217879;;
62;102;0;2;176621;;
63;129;200;14;146802;;
64;61;1500;14;34068;;
65;186;1300;15;223050;;
66;157;800;6;183679;;
67;153;300;8;214378;;
68;52;300;13;57441;;
69;171;1300;13;172967;;
70;40;300;4;52577;;
71;124;500;16;157192;;
72;113;700;17;106821;;
73;179;1500;9;192936;;
74;109;1000;5;125726;;
75;129;1900;15;128192;;
76;119;500;1;155095;;
77;110;1800;6;101677;;
78;76;300;11;90001;;
79;83;200;17;86608;;
80;86;200;4;115715;;
81;63;1900;18;30534;;
82;92;1300;13;93910;;
83;121;900;11;132728;;
84;64;1300;8;57369;;
85;109;1200;18;97801;;
86;41;100;11;46100;;
87;102;500;7;138947;;
88;182;900;16;210222;;
89;195;300;10;247471;;
90;174;300;9;240737;;
91;124;1200;15;132538;;
92;151;100;8;205673;;
93;56;900;4;57471;;
94;100;500;5;130428;;
95;134;200;0;225465;;
96;75;900;7;84994;;
97;161;100;4;215545;;
98;116;1600;10;119552;;
99;148;1600;8;135268;;
100;183;1100;8;212031;;
